ID,Name,Speed,SplashRadius,HitEffectID
1101,Sword(SP),10,2,101
1201,Sword(T),15,0,201
1301,Sword(TR),1,1.5,301
1401,Sword(B),1,0,401
2101,Sword(SP),10,2,101
2201,Sword(T),15,0,201
2301,Sword(TR),1,1.5,301
2401,Sword(B),1,0,401
3101,Sword(SP),10,3,101
3201,Sword(T),15,0,201
3301,Sword(TR),1,2.25,301
3401,Sword(B),1,0,401
4101,Sword(SP),10,4,101
4201,Sword(T),15,0,201
4301,Sword(TR),1,3,301
4401,Sword(B),1,0,401
5101,Sword(SP),10,6,101
5201,Sword(T),15,0,201
5301,Sword(TR),1,4.5,301
5401,Sword(B),1,0,401
,,,,
1102,Bow(SP),10,2,102
1202,Bow(T),15,0,202
1302,Bow(TR),1,1.5,302
1402,Bow(B),1,0,402
2102,Bow(SP),10,2,102
2202,Bow(T),15,0,202
2302,Bow(TR),1,1.5,302
2402,Bow(B),1,0,402
3102,Bow(SP),10,3,102
3202,Bow(T),15,0,202
3302,Bow(TR),1,2.25,302
3402,Bow(B),1,0,402
4102,Bow(SP),10,4,102
4202,Bow(T),15,0,202
4302,Bow(TR),1,3,302
4402,Bow(B),1,0,402
5102,Bow(SP),10,6,102
5202,Bow(T),15,0,202
5302,Bow(TR),1,4.5,302
5402,Bow(B),1,0,402
,,,,
1103,Shield(SP),10,2,103
1203,Shield(T),15,0,203
1303,Shield(TR),1,1.5,303
1403,Shield(B),1,0,403
2103,Shield(SP),10,2,103
2203,Shield(T),15,0,203
2303,Shield(TR),1,1.5,303
2403,Shield(B),1,0,403
3103,Shield(SP),10,3,103
3203,Shield(T),15,0,203
3303,Shield(TR),1,2.25,303
3403,Shield(B),1,0,403
4103,Shield(SP),10,4,103
4203,Shield(T),15,0,203
4303,Shield(TR),1,3,303
4403,Shield(B),1,0,403
5103,Shield(SP),10,6,103
5203,Shield(T),15,0,203
5303,Shield(TR),1,4.5,303
5403,Shield(B),1,0,403
,,,,
1104,Spear(SP),10,1.5,104
1204,Spear(T),15,0,204
1304,Spear(TR),1,1.5,304
1404,Spear(B),1,0,404
2104,Spear(SP),10,1.5,104
2204,Spear(T),15,0,204
2304,Spear(TR),1,1.5,304
2404,Spear(B),1,0,404
3104,Spear(SP),10,2.25,104
3204,Spear(T),15,0,204
3304,Spear(TR),1,2.25,304
3404,Spear(B),1,0,404
4104,Spear(SP),10,3,104
4204,Spear(T),15,0,204
4304,Spear(TR),1,3,304
4404,Spear(B),1,0,404
5104,Spear(SP),10,4.5,104
5204,Spear(T),15,0,204
5304,Spear(TR),1,4.5,304
5404,Spear(B),1,0,404
,,,,
1105,Axe(SP),10,1.2,105
1205,Axe(T),15,0,205
1305,Axe(TR),1,1.5,305
1405,Axe(B),1,0,405
2105,Axe(SP),10,1.2,105
2205,Axe(T),15,0,205
2305,Axe(TR),1,1.5,305
2405,Axe(B),1,0,405
3105,Axe(SP),10,1.8,105
3205,Axe(T),15,0,205
3305,Axe(TR),1,2.25,305
3405,Axe(B),1,0,405
4105,Axe(SP),10,2.4,105
4205,Axe(T),15,0,205
4305,Axe(TR),1,3,305
4405,Axe(B),1,0,405
5105,Axe(SP),10,3.6,105
5205,Axe(T),15,0,205
5305,Axe(TR),1,4.5,305
5405,Axe(B),1,0,405
,,,,
1106,Fire(SP),10,3,106
1206,Fire(T),15,0,206
1306,Fire(TR),1,2,306
1406,Fire(B),1,0,406
2106,Fire(SP),10,3,106
2206,Fire(T),15,0,206
2306,Fire(TR),1,2,306
2406,Fire(B),1,0,406
3106,Fire(SP),10,4.5,106
3206,Fire(T),15,0,206
3306,Fire(TR),1,3,306
3406,Fire(B),1,0,406
4106,Fire(SP),10,6,106
4206,Fire(T),15,0,206
4306,Fire(TR),1,4,306
4406,Fire(B),1,0,406
5106,Fire(SP),10,9,106
5206,Fire(T),15,0,206
5306,Fire(TR),1,6,306
5406,Fire(B),1,0,406
,,,,
1107,Ice(SP),10,3,107
1207,Ice(T),15,0,207
1307,Ice(TR),1,2,307
1407,Ice(B),1,0,407
2107,Ice(SP),10,3,107
2207,Ice(T),15,0,207
2307,Ice(TR),1,2,307
2407,Ice(B),1,0,407
3107,Ice(SP),10,4.5,107
3207,Ice(T),15,0,207
3307,Ice(TR),1,3,307
3407,Ice(B),1,0,407
4107,Ice(SP),10,6,107
4207,Ice(T),15,0,207
4307,Ice(TR),1,4,307
4407,Ice(B),1,0,407
5107,Ice(SP),10,9,107
5207,Ice(T),15,0,207
5307,Ice(TR),1,6,307
5407,Ice(B),1,0,407
,,,,
1108,Electricity(SP),10,3,108
1208,Electricity(T),15,0,208
1308,Electricity(TR),1,2,308
1408,Electricity(B),1,0,408
2108,Electricity(SP),10,3,108
2208,Electricity(T),15,0,208
2308,Electricity(TR),1,2,308
2408,Electricity(B),1,0,408
3108,Electricity(SP),10,4.5,108
3208,Electricity(T),15,0,208
3308,Electricity(TR),1,3,308
3408,Electricity(B),1,0,408
4108,Electricity(SP),10,6,108
4208,Electricity(T),15,0,208
4308,Electricity(TR),1,4,308
4408,Electricity(B),1,0,408
5108,Electricity(SP),10,9,108
5208,Electricity(T),15,0,208
5308,Electricity(TR),1,6,308
5408,Electricity(B),1,0,408
,,,,
1109,Wind(SP),10,3,109
1209,Wind(T),15,0,209
1309,Wind(TR),1,2,309
1409,Wind(B),1,0,409
2109,Wind(SP),10,3,109
2209,Wind(T),15,0,209
2309,Wind(TR),1,2,309
2409,Wind(B),1,0,409
3109,Wind(SP),10,4.5,109
3209,Wind(T),15,0,209
3309,Wind(TR),1,3,309
3409,Wind(B),1,0,409
4109,Wind(SP),10,6,109
4209,Wind(T),15,0,209
4309,Wind(TR),1,4,309
4409,Wind(B),1,0,409
5109,Wind(SP),10,9,109
5209,Wind(T),15,0,209
5309,Wind(TR),1,6,309
5409,Wind(B),1,0,409
