ID,Name,towerLevel,attackDamage,attackRange,attackSpeed,IsCritical,criticalRate,criticalDamage,duration,abilityValue,attackType,targetLayer,buffTarget,debuffTarget,,BaseDamage,CriticalDamage,,Average D,Average Cr,,,
1101,(광역) 검 타워,1,2.5,2.1,0.23,FALSE,0.04,0.08,0.5,8.6957,Splash,Enemy,None,None,,34.5,35.99,,25.54,27.01,,8.96,8.98
1201,(단일) 검 타워,1,1.87,2.1,0.375,FALSE,0.075,0.04,0,0,Target,Enemy,None,None,,42.08,45.36,,33.96,36.51,,8.12,8.85
1301,(함정) 검 타워,1,15,2.1,0.01,FALSE,0,0,30,0,Trap,Enemy,None,None,,9,9,,9.08,9.08,,-0.08,-0.08
1401,(버프) 검 타워,1,0,1,1,FALSE,0,0,1,1.2,Buff,Tower,Damage,None,,0,0,,7.5,7.5,,-7.5,-7.5
2101,(광역) 검 타워,1,4.5,2.1,0.48,FALSE,0.048,0.1,0.75,25,Splash,Enemy,None,None,,129.6,136.44,,96.69,103.51,,32.91,32.93
2201,(단일) 검 타워,1,3.18,2.1,0.83,FALSE,0.09,0.05,0,0,Target,Enemy,None,None,,158.36,173.33,,127.57,139.41,,30.79,33.92
2301,(함정) 검 타워,1,30,2.1,0.02,FALSE,0,0,30,0,Trap,Enemy,None,None,,36,36,,38.28,38.28,,-2.28,-2.28
2401,(버프) 검 타워,1,0,1,1,FALSE,0,0,1,1.4,Buff,Tower,Damage,None,,0,0,,15,15,,-15,-15
3101,(광역) 검 타워,1,10.13,2.1,1.06,FALSE,0.0672,0.15,1,60,Splash,Enemy,None,None,,644.27,694.06,,479.72,530,,164.55,164.06
3201,(단일) 검 타워,1,6.36,2.1,1.99,FALSE,0.126,0.08,0,0,Target,Enemy,None,None,,759.38,862.72,,612.57,699.51,,146.81,163.21
3301,(함정) 검 타워,1,75,2.1,0.04,FALSE,0,0,30,0,Trap,Enemy,None,None,,180,180,,208.8,208.8,,-28.8,-28.8
3401,(버프) 검 타워,1,0,2,1,FALSE,0,0,1,2,Buff,Tower,Damage,None,,0,0,,22.5,22.5,,-22.5,-22.5
4101,(광역) 검 타워,1,30.39,2.31,2.65,FALSE,0.10752,0.3,1.5,150,Splash,Enemy,None,None,,4832.01,5507.41,,3601.59,4306.1,,1230.42,1201.31
4201,(단일) 검 타워,1,19.08,2.31,5.47,FALSE,0.2016,0.16,0,0,Target,Enemy,None,None,,6262.06,7726.48,,5055.35,6489.95,,1206.71,1236.53
4301,(함정) 검 타워,1,225,2.31,0.1,FALSE,0,0,30,0,Trap,Enemy,None,None,,1350,1350,,1570.5,1570.5,,-220.5,-220.5
4401,(버프) 검 타워,1,0,4,1,FALSE,0,0,1,3,Buff,Tower,Damage,None,,0,0,,37.5,37.5,,-37.5,-37.5
5101,(광역) 검 타워,1,127.64,2.89,7.95,FALSE,0.193536,0.84,2.5,525,Splash,Enemy,None,None,,60884.28,82565.55,,45381.34,69583.23,,15502.94,12982.32
5201,(단일) 검 타워,1,95.4,2.89,21.88,FALSE,0.36288,0.45,0,0,Target,Enemy,None,None,,125241.12,191139.99,,101106.9,189869.9,,24134.22,1270.09
5301,(함정) 검 타워,1,1125,2.89,0.3,FALSE,0,0,30,0,Trap,Enemy,None,None,,20250,20250,,23557.5,23557.5,,-3307.5,-3307.5
