ID,Name,towerLevel,attackDamage,attackRange,Action,attackCount,SplashRadius,AdditionalHitCount,IsCritical,criticalRate,criticalDamage,duration,abilityValue,attackType,targetLayer,buffTarget,debuffTarget,Speed,HitEffectID,TargetPriority
1101,브론즈 광역 검 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,101,Closest
1102,브론즈 광역 활 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,102,Closest
1103,브론즈 광역 방패 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,103,Closest
1104,브론즈 광역 창 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,104,Closest
1105,브론즈 광역 도끼 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,105,Closest
1106,브론즈 광역 해머 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,106,Closest
1107,브론즈 광역 불 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,107,Closest
1108,브론즈 광역 얼음 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,108,Closest
1109,브론즈 광역 번개 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,109,Closest
1110,브론즈 광역 바람 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,110,Closest
1111,브론즈 광역 대지 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,111,Closest
1112,브론즈 광역 빛 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,112,Closest
1113,브론즈 광역 어둠 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,113,Closest
1201,브론즈 단일 검 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,201,Closest
1202,브론즈 단일 활 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,202,Closest
1203,브론즈 단일 방패 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,203,Closest
1204,브론즈 단일 창 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,204,Closest
1205,브론즈 단일 도끼 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,205,Closest
1206,브론즈 단일 해머 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,206,Closest
1207,브론즈 단일 불 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,207,Closest
1208,브론즈 단일 얼음 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,208,Closest
1209,브론즈 단일 번개 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,209,Closest
1210,브론즈 단일 바람 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,210,Closest
1211,브론즈 단일 대지 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,211,Closest
1212,브론즈 단일 빛 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,212,Closest
1213,브론즈 단일 어둠 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,213,Closest
1301,브론즈 버프 검 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Sword,None,0,301,Closest
1302,브론즈 버프 활 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Bow,None,0,302,Closest
1303,브론즈 버프 방패 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Shield,None,0,303,Closest
1304,브론즈 버프 창 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Spear,None,0,304,Closest
1305,브론즈 버프 도끼 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Axe,None,0,305,Closest
1306,브론즈 버프 해머 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Hammer,None,0,306,Closest
1307,브론즈 버프 불 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Fire,None,0,307,Closest
1308,브론즈 버프 얼음 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Ice,None,0,308,Closest
1309,브론즈 버프 번개 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Electricity,None,0,309,Closest
1310,브론즈 버프 바람 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Wind,None,0,310,Closest
1311,브론즈 버프 대지 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Earth,None,0,311,Closest
1312,브론즈 버프 빛 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Light,None,0,312,Closest
1313,브론즈 버프 어둠 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Darkness,None,0,313,Closest
1401,브론즈 디버프 검 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Sword,0,401,Closest
1402,브론즈 디버프 활 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Bow,0,402,Closest
1403,브론즈 디버프 방패 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Shield,0,403,Closest
1404,브론즈 디버프 창 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Spear,0,404,Closest
1405,브론즈 디버프 도끼 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Axe,0,405,Closest
1406,브론즈 디버프 해머 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Hammer,0,406,Closest
1407,브론즈 디버프 불 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Fire,0,407,Closest
1408,브론즈 디버프 얼음 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Ice,0,408,Closest
1409,브론즈 디버프 번개 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Electricity,0,409,Closest
1410,브론즈 디버프 바람 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Wind,0,410,Closest
1411,브론즈 디버프 대지 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Earth,0,411,Closest
1412,브론즈 디버프 빛 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Light,0,412,Closest
1413,브론즈 디버프 어둠 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Darkness,0,413,Closest
2101,실버 광역 검 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,101,Closest
2102,실버 광역 활 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,102,Closest
2103,실버 광역 방패 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,103,Closest
2104,실버 광역 창 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,104,Closest
2105,실버 광역 도끼 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,105,Closest
2106,실버 광역 해머 타워,1,2,1,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,106,Closest
2107,실버 광역 불 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,107,Closest
2108,실버 광역 얼음 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,108,Closest
2109,실버 광역 번개 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,109,Closest
2110,실버 광역 바람 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,110,Closest
2111,실버 광역 대지 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,111,Closest
2112,실버 광역 빛 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,112,Closest
2113,실버 광역 어둠 타워,1,2,2,3,1,1,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,113,Closest
2201,실버 단일 검 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,201,Closest
2202,실버 단일 활 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,202,Closest
2203,실버 단일 방패 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,203,Closest
2204,실버 단일 창 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,204,Closest
2205,실버 단일 도끼 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,205,Closest
2206,실버 단일 해머 타워,1,2,1,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,206,Closest
2207,실버 단일 불 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,207,Closest
2208,실버 단일 얼음 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,208,Closest
2209,실버 단일 번개 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,209,Closest
2210,실버 단일 바람 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,210,Closest
2211,실버 단일 대지 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,211,Closest
2212,실버 단일 빛 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,212,Closest
2213,실버 단일 어둠 타워,1,2,2,3,1,0,1,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,213,Closest
2301,실버 버프 검 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Sword,None,0,301,Closest
2302,실버 버프 활 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Bow,None,0,302,Closest
2303,실버 버프 방패 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Shield,None,0,303,Closest
2304,실버 버프 창 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Spear,None,0,304,Closest
2305,실버 버프 도끼 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Axe,None,0,305,Closest
2306,실버 버프 해머 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Hammer,None,0,306,Closest
2307,실버 버프 불 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Fire,None,0,307,Closest
2308,실버 버프 얼음 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Ice,None,0,308,Closest
2309,실버 버프 번개 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Electricity,None,0,309,Closest
2310,실버 버프 바람 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Wind,None,0,310,Closest
2311,실버 버프 대지 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Earth,None,0,311,Closest
2312,실버 버프 빛 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Light,None,0,312,Closest
2313,실버 버프 어둠 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Darkness,None,0,313,Closest
2401,실버 디버프 검 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Sword,0,401,Closest
2402,실버 디버프 활 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Bow,0,402,Closest
2403,실버 디버프 방패 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Shield,0,403,Closest
2404,실버 디버프 창 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Spear,0,404,Closest
2405,실버 디버프 도끼 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Axe,0,405,Closest
2406,실버 디버프 해머 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Hammer,0,406,Closest
2407,실버 디버프 불 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Fire,0,407,Closest
2408,실버 디버프 얼음 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Ice,0,408,Closest
